rid,date,origin,destination,gbtt_ptd,gbtt_pta,toc_code
202401176728868,2024-01-17,KGX,EDB,1900,2324,GR
202401186728868,2024-01-18,KGX,EDB,1900,2324,GR
202401196728868,2024-01-19,KGX,EDB,1900,2324,GR
202401236728789,2024-01-23,KGX,ABD,1600,2020,GR
202401246728789,2024-01-24,KGX,ABD,1600,2020,GR
202401256728789,2024-01-25,KGX,ABD,1600,2020,GR
202401266728789,2024-01-26,KGX,ABD,1600,2020,GR
202401236728837,2024-01-23,KGX,EDB,1630,2114,GR
202401246728837,2024-01-24,KGX,EDB,1630,2114,GR
202401256728837,2024-01-25,KGX,EDB,1630,2114,GR
202401266728837,2024-01-26,KGX,EDB,1630,2114,GR
202401236728855,2024-01-23,KGX,EDB,1700,2124,GR
202401246728855,2024-01-24,KGX,EDB,1700,2124,GR
202401256728855,2024-01-25,KGX,EDB,1700,2124,GR
202401266728855,2024-01-26,KGX,EDB,1700,2124,GR
202401236728859,2024-01-23,KGX,EDB,1730,2208,GR
202401246728859,2024-01-24,KGX,EDB,1730,2208,GR
202401256728859,2024-01-25,KGX,EDB,1730,2208,GR
202401266728859,2024-01-26,KGX,EDB,1730,2208,GR
202401226728885,2024-01-22,KGX,EDB,1800,2220,GR
202401236728885,2024-01-23,KGX,EDB,1800,2220,GR
202401246728885,2024-01-24,KGX,EDB,1800,2220,GR
202401256728885,2024-01-25,KGX,EDB,1800,2220,GR
202401266728885,2024-01-26,KGX,EDB,1800,2220,GR
202401236728860,2024-01-23,KGX,EDB,1830,2316,GR
202401246728860,2024-01-24,KGX,EDB,1830,2316,GR
202401256728860,2024-01-25,KGX,EDB,1830,2316,GR
202401266728860,2024-01-26,KGX,EDB,1830,2316,GR
202401236728868,2024-01-23,KGX,EDB,1900,2324,GR
202401246728868,2024-01-24,KGX,EDB,1900,2324,GR
202401256728868,2024-01-25,KGX,EDB,1900,2324,GR
202401266728868,2024-01-26,KGX,EDB,1900,2324,GR
202401296728789,2024-01-29,KGX,ABD,1600,2020,GR
202401306728789,2024-01-30,KGX,ABD,1600,2020,GR
202401316728789,2024-01-31,KGX,ABD,1600,2020,GR
202402016728789,2024-02-01,KGX,ABD,1600,2020,GR
202401296728837,2024-01-29,KGX,EDB,1630,2114,GR
202401306728837,2024-01-30,KGX,EDB,1630,2114,GR
202401316728837,2024-01-31,KGX,EDB,1630,2114,GR
202402017854597,2024-02-01,KGX,EDB,1630,2124,GR
202401296728855,2024-01-29,KGX,EDB,1700,2124,GR
202401306728855,2024-01-30,KGX,EDB,1700,2124,GR
202401316728855,2024-01-31,KGX,EDB,1700,2124,GR
202401296728859,2024-01-29,KGX,EDB,1730,2208,GR
202401306728859,2024-01-30,KGX,EDB,1730,2208,GR
202401316728859,2024-01-31,KGX,EDB,1730,2208,GR
202402017854599,2024-02-01,KGX,EDB,1730,2208,GR
202401296728885,2024-01-29,KGX,EDB,1800,2220,GR
202401306728885,2024-01-30,KGX,EDB,1800,2220,GR
202401316728885,2024-01-31,KGX,EDB,1800,2220,GR
202402016728885,2024-02-01,KGX,EDB,1800,2220,GR
202401296728860,2024-01-29,KGX,EDB,1830,2316,GR
202401306728860,2024-01-30,KGX,EDB,1830,2316,GR
202401316728860,2024-01-31,KGX,EDB,1830,2316,GR
202402016728860,2024-02-01,KGX,EDB,1830,2316,GR
202401296728868,2024-01-29,KGX,EDB,1900,2324,GR
202401306728868,2024-01-30,KGX,EDB,1900,2324,GR
202401317854554,2024-01-31,KGX,EDB,1900,2324,GR
202402016728868,2024-02-01,KGX,EDB,1900,2324,GR
